trait_id	file_path	trait_name	n
ukb-b-10001	/local-scratch/data/opengwas/igd/ukb-b-10001/ukb-b-10001.vcf.gz	Operative procedures - secondary OPCS: Z84.6 Knee joint	463010
ukb-b-10002	/local-scratch/data/opengwas/igd/ukb-b-10002/ukb-b-10002.vcf.gz	Manic/hyper symptoms: All of the above	31317
ukb-b-10003	/local-scratch/data/opengwas/igd/ukb-b-10003/ukb-b-10003.vcf.gz	Treatment/medication code: becotide 50 inhaler	462933
ukb-b-10008	/local-scratch/data/opengwas/igd/ukb-b-10008/ukb-b-10008.vcf.gz	Treatment/medication code: atorvastatin	462933
ukb-b-10011	/local-scratch/data/opengwas/igd/ukb-b-10011/ukb-b-10011.vcf.gz	Townsend deprivation index at recruitment	462464
ukb-b-1004	/local-scratch/data/opengwas/igd/ukb-b-1004/ukb-b-1004.vcf.gz	Added milk to espresso	64949
ukb-b-10054	/local-scratch/data/opengwas/igd/ukb-b-10054/ukb-b-10054.vcf.gz	Cheese consumers	64949
ukb-b-10056	/local-scratch/data/opengwas/igd/ukb-b-10056/ukb-b-10056.vcf.gz	PCT responsible for patient data: NORTH TYNESIDE PCT	463010
ukb-b-10061	/local-scratch/data/opengwas/igd/ukb-b-10061/ukb-b-10061.vcf.gz	Diagnoses - secondary ICD10: Z50.1 Other physical therapy	463010
ukb-b-10066	/local-scratch/data/opengwas/igd/ukb-b-10066/ukb-b-10066.vcf.gz	Eye problems/disorders: Other serious eye condition	150642
ukb-b-10070	/local-scratch/data/opengwas/igd/ukb-b-10070/ukb-b-10070.vcf.gz	PCT responsible for patient data: BUCKINGHAMSHIRE PCT	463010
ukb-b-10073	/local-scratch/data/opengwas/igd/ukb-b-10073/ukb-b-10073.vcf.gz	Type of baguette eaten: wholemeal	64949
ukb-b-10093	/local-scratch/data/opengwas/igd/ukb-b-10093/ukb-b-10093.vcf.gz	Tense / 'highly strung'	447961
ukb-b-10097	/local-scratch/data/opengwas/igd/ukb-b-10097/ukb-b-10097.vcf.gz	Operation code: skin operation or plastic surgery	462933
ukb-b-10098	/local-scratch/data/opengwas/igd/ukb-b-10098/ukb-b-10098.vcf.gz	Non-cancer illness code, self-reported: iron deficiency anaemia	462933
ukb-b-10102	/local-scratch/data/opengwas/igd/ukb-b-10102/ukb-b-10102.vcf.gz	Diagnoses - main ICD10: Z09.0 Follow-up examination after surgery for other conditions	463010
ukb-b-10143	/local-scratch/data/opengwas/igd/ukb-b-10143/ukb-b-10143.vcf.gz	Destinations on discharge from hospital (recoded): Usual Place of residence: Living alone	460756
ukb-b-10144	/local-scratch/data/opengwas/igd/ukb-b-10144/ukb-b-10144.vcf.gz	Diagnoses - secondary ICD10: K21.0 Gastro-oesophageal reflux disease with oesophagitis	463010
ukb-b-10145	/local-scratch/data/opengwas/igd/ukb-b-10145/ukb-b-10145.vcf.gz	PCT where patients GP was registered: NORTH BRADFORD PCT	463010
ukb-b-1016	/local-scratch/data/opengwas/igd/ukb-b-1016/ukb-b-1016.vcf.gz	Operative procedures - main OPCS: M29.3 Endoscopic removal of tubal prosthesis from ureter	463010
ukb-b-10162	/local-scratch/data/opengwas/igd/ukb-b-10162/ukb-b-10162.vcf.gz	Job involve night shift work	43440
ukb-b-10164	/local-scratch/data/opengwas/igd/ukb-b-10164/ukb-b-10164.vcf.gz	Operative procedures - main OPCS: X31.2 Intravenous pyelography	463010
ukb-b-10167	/local-scratch/data/opengwas/igd/ukb-b-10167/ukb-b-10167.vcf.gz	Operation code: vasectomy	462933
ukb-b-10169	/local-scratch/data/opengwas/igd/ukb-b-10169/ukb-b-10169.vcf.gz	Guilty feelings	450704
ukb-b-10181	/local-scratch/data/opengwas/igd/ukb-b-10181/ukb-b-10181.vcf.gz	Eye problems/disorders: Diabetes related eye disease	150642
ukb-b-10188	/local-scratch/data/opengwas/igd/ukb-b-10188/ukb-b-10188.vcf.gz	Vitamin and mineral supplements: Vitamin B	460351
ukb-b-1020	/local-scratch/data/opengwas/igd/ukb-b-1020/ukb-b-1020.vcf.gz	Operative procedures - secondary OPCS: Z70.5 Lower end of radius NEC	463010
ukb-b-10202	/local-scratch/data/opengwas/igd/ukb-b-10202/ukb-b-10202.vcf.gz	PCT responsible for patient data: BURY PCT	463010
ukb-b-1021	/local-scratch/data/opengwas/igd/ukb-b-1021/ukb-b-1021.vcf.gz	Operation code: muscle/soft tissue surgery	462933
ukb-b-10212	/local-scratch/data/opengwas/igd/ukb-b-10212/ukb-b-10212.vcf.gz	Treatment speciality of consultant (recoded): Neurology	444321
ukb-b-10215	/local-scratch/data/opengwas/igd/ukb-b-10215/ukb-b-10215.vcf.gz	Hand grip strength (right)	461089
ukb-b-10217	/local-scratch/data/opengwas/igd/ukb-b-10217/ukb-b-10217.vcf.gz	Sweets intake	64949
ukb-b-10224	/local-scratch/data/opengwas/igd/ukb-b-10224/ukb-b-10224.vcf.gz	Non-cancer illness code, self-reported: meningitis	462933
ukb-b-10248	/local-scratch/data/opengwas/igd/ukb-b-10248/ukb-b-10248.vcf.gz	Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face	463010
ukb-b-10250	/local-scratch/data/opengwas/igd/ukb-b-10250/ukb-b-10250.vcf.gz	Cylindrical power (right)	99380
ukb-b-10258	/local-scratch/data/opengwas/igd/ukb-b-10258/ukb-b-10258.vcf.gz	Treatment/medication code: paroxetine	462933
ukb-b-10260	/local-scratch/data/opengwas/igd/ukb-b-10260/ukb-b-10260.vcf.gz	Types of spreads/sauces consumed: Gravy	64949
ukb-b-10263	/local-scratch/data/opengwas/igd/ukb-b-10263/ukb-b-10263.vcf.gz	Operative procedures - secondary OPCS: Y80.9 Unspecified general anaesthetic	463010
ukb-b-10272	/local-scratch/data/opengwas/igd/ukb-b-10272/ukb-b-10272.vcf.gz	Treatment/medication code: digoxin	462933
ukb-b-10281	/local-scratch/data/opengwas/igd/ukb-b-10281/ukb-b-10281.vcf.gz	Operative procedures - secondary OPCS: Z89.6 Finger NEC	463010
ukb-b-10284	/local-scratch/data/opengwas/igd/ukb-b-10284/ukb-b-10284.vcf.gz	Treatment/medication code: multivitamins	462933
ukb-b-10286	/local-scratch/data/opengwas/igd/ukb-b-10286/ukb-b-10286.vcf.gz	Breakfast cereal consumed	64949
ukb-b-10289	/local-scratch/data/opengwas/igd/ukb-b-10289/ukb-b-10289.vcf.gz	Operation code: large bowel resection +/- colostomy	462933
ukb-b-10298	/local-scratch/data/opengwas/igd/ukb-b-10298/ukb-b-10298.vcf.gz	Operative procedures - secondary OPCS: W28.1 Application of internal fixation to bone NEC	463010
ukb-b-10309	/local-scratch/data/opengwas/igd/ukb-b-10309/ukb-b-10309.vcf.gz	Operation code: myomectomy/fibroids removed	462933
ukb-b-10324	/local-scratch/data/opengwas/igd/ukb-b-10324/ukb-b-10324.vcf.gz	Operation code: elbow surgery	462933
ukb-b-10325	/local-scratch/data/opengwas/igd/ukb-b-10325/ukb-b-10325.vcf.gz	Average night-time sound level of noise pollution	456380
ukb-b-10351	/local-scratch/data/opengwas/igd/ukb-b-10351/ukb-b-10351.vcf.gz	Non-cancer illness code, self-reported: allergy or anaphylactic reaction to drug	462933
ukb-b-10362	/local-scratch/data/opengwas/igd/ukb-b-10362/ukb-b-10362.vcf.gz	Diagnoses - main ICD10: K80.0 Calculus of gallbladder with acute cholecystitis	463010
ukb-b-10366	/local-scratch/data/opengwas/igd/ukb-b-10366/ukb-b-10366.vcf.gz	Sweet snack consumers	64949
ukb-b-10368	/local-scratch/data/opengwas/igd/ukb-b-10368/ukb-b-10368.vcf.gz	Diagnoses - secondary ICD10: R19.4 Change in bowel habit	463010
ukb-b-10382	/local-scratch/data/opengwas/igd/ukb-b-10382/ukb-b-10382.vcf.gz	PCT where patients GP was registered: NORTH STAFFORDSHIRE PCT	463010
ukb-b-10387	/local-scratch/data/opengwas/igd/ukb-b-10387/ukb-b-10387.vcf.gz	Leg pain on walking	151553
ukb-b-10409	/local-scratch/data/opengwas/igd/ukb-b-10409/ukb-b-10409.vcf.gz	Diagnoses - secondary ICD10: R10.1 Pain localised to upper abdomen	463010
ukb-b-1041	/local-scratch/data/opengwas/igd/ukb-b-1041/ukb-b-1041.vcf.gz	Traffic intensity on the nearest major road	456380
ukb-b-10412	/local-scratch/data/opengwas/igd/ukb-b-10412/ukb-b-10412.vcf.gz	Time to complete round	110323
ukb-b-10414	/local-scratch/data/opengwas/igd/ukb-b-10414/ukb-b-10414.vcf.gz	Sum of road length of major roads within 100m	456380
ukb-b-10415	/local-scratch/data/opengwas/igd/ukb-b-10415/ukb-b-10415.vcf.gz	Illnesses of father: None of the above (group 2)	407392
ukb-b-10433	/local-scratch/data/opengwas/igd/ukb-b-10433/ukb-b-10433.vcf.gz	Treatment/medication code: fexofenadine	462933
ukb-b-1044	/local-scratch/data/opengwas/igd/ukb-b-1044/ukb-b-1044.vcf.gz	Operative procedures - main OPCS: H20.6 Fibreoptic endoscopic resection of lesion of colon NEC	463010
ukb-b-10444	/local-scratch/data/opengwas/igd/ukb-b-10444/ukb-b-10444.vcf.gz	Operative procedures - main OPCS: X50.1 Direct current cardioversion	463010
ukb-b-10454	/local-scratch/data/opengwas/igd/ukb-b-10454/ukb-b-10454.vcf.gz	Illnesses of mother: None of the above (group 1)	425729
ukb-b-1046	/local-scratch/data/opengwas/igd/ukb-b-1046/ukb-b-1046.vcf.gz	Duration of strenuous sports	46993
ukb-b-10477	/local-scratch/data/opengwas/igd/ukb-b-10477/ukb-b-10477.vcf.gz	PCT where patients GP was registered: LAMBETH PCT	463010
ukb-b-10485	/local-scratch/data/opengwas/igd/ukb-b-10485/ukb-b-10485.vcf.gz	PCT where patients GP was registered: BRACKNELL FOREST PCT	463010
ukb-b-10490	/local-scratch/data/opengwas/igd/ukb-b-10490/ukb-b-10490.vcf.gz	Diagnoses - secondary ICD10: Z03.8 Observation for other suspected diseases and conditions	463010
ukb-b-10505	/local-scratch/data/opengwas/igd/ukb-b-10505/ukb-b-10505.vcf.gz	Qualifications: CSEs or equivalent	458079
ukb-b-10537	/local-scratch/data/opengwas/igd/ukb-b-10537/ukb-b-10537.vcf.gz	Non-cancer illness code, self-reported: psoriasis	462933
ukb-b-10546	/local-scratch/data/opengwas/igd/ukb-b-10546/ukb-b-10546.vcf.gz	Oily fish intake	64949
ukb-b-10554	/local-scratch/data/opengwas/igd/ukb-b-10554/ukb-b-10554.vcf.gz	Operation code: adenoid surgery / adenoidectomy	462933
ukb-b-10555	/local-scratch/data/opengwas/igd/ukb-b-10555/ukb-b-10555.vcf.gz	Diagnoses - secondary ICD10: I50.1 Left ventricular failure	463010
ukb-b-10559	/local-scratch/data/opengwas/igd/ukb-b-10559/ukb-b-10559.vcf.gz	Methods of admission to hospital (recoded): Emergency admission: A&E	462624
ukb-b-10565	/local-scratch/data/opengwas/igd/ukb-b-10565/ukb-b-10565.vcf.gz	Tinned tomato intake	64949
